class,precision,recall,f1_score,support
Angry,0.5573979591836735,0.4561586638830898,0.5017221584385764,958
Disgust,0.2986111111111111,0.7747747747747747,0.43107769423558895,111
Fear,0.48722986247544203,0.2421875,0.32354859752120024,1024
Happy,0.8489702517162472,0.8365276211950394,0.8427030096536059,1774
Neutral,0.500875656742557,0.6958637469586375,0.5824847250509165,1233
Sad,0.514410480349345,0.4723336006415397,0.49247491638795987,1247
Surprise,0.6710393541876892,0.8002406738868832,0.7299670691547749,831
macro_avg,0.554076382252295,0.6111552259057091,0.557711167206089,7178
